# Upstream adoption worklist — gascity fork
#
# Ordered queue consumed one entry per tick by scripts/upstream-adopt/adopt-next.sh.
# Columns: TIER<TAB>SHA<TAB>SUBJECT
#
# Every SHA here was TRIALLED with `git cherry-pick -n` against origin/develop and
# applied without conflict. That is measured, not inferred: a static "touches no
# diverged file" heuristic predicted 178 clean and only 110 actually were (~62%
# precise), so entries are trial-verified rather than classified.
#
# Tier order is risk-ascending, which is also the execution order:
#   T0-zero-runtime-risk  test/ci/chore/docs only. Cannot change runtime behaviour.
#                         Warms the later merge by retiring test-file divergence.
#   T1-low-blast-radius   fixes in observability/diagnostic/leaf areas.
#   T2-core-runtime       fixes in beads/order/session/reconciler/routing. Highest
#                         stability value, so highest scrutiny.
#   DEFER-feature         feat/perf. NOT adopted here. Feature-shaped changes belong
#                         in the deliberate merge, not in an unattended trickle.
#
# PINNED-FIRST is the single exception to tier order: upstream #5276 is on the
# critical path of gcw-qap3 (it fixes PrimeActive swallowing partial reads — the
# exact function our preserved summary-envelope test names). Taking it first stops
# further fork-local gcw-qap3 work being written against code upstream replaced.
# It touches one diverged file, docs/reference/cli.md, which is GENERATED — resolve
# by regenerating, never by hand-merging.
PINNED-FIRST	0e7adb38d	fix(beads): preserve blocked work across partial cache reads (#5276)
T0-zero-runtime-risk	59fb0839a	chore(github): remove csells from CODEOWNERS (#5683)
T0-zero-runtime-risk	407114321	chore(github): stop automatic csells review requests (#5989)
T0-zero-runtime-risk	9999fc65b	chore(license): attribute copyright to Gas City Contributors
T0-zero-runtime-risk	28f4436fb	chore: record release gate FAIL for ga-v138pa
T0-zero-runtime-risk	f3d1d70e8	chore: release gate PASS for sling formula-attach routing fix
T0-zero-runtime-risk	a57af6e92	ci: scan the Go module graph for known vulnerabilities (#5063)
T0-zero-runtime-risk	e87c5ac07	ci: skip image rebuild dispatch in forks (#5570)
T0-zero-runtime-risk	31dafd521	docs(dispatch): work-formula selection guide + v2 --on semantics; fix digest-generate misl
T0-zero-runtime-risk	d9fc6ddba	docs(pack-spec): document [runtimes.<name>] pack manifest tables (#5619)
T0-zero-runtime-risk	7d7004cf0	docs(session): clarify primed_at as delivery-attempted, not consumed (#5236) (#5261)
T0-zero-runtime-risk	f056a4f97	docs: define the Gas City identity separator contract (#5680)
T0-zero-runtime-risk	f59a20cf2	docs: record source install plan (#4838)
T0-zero-runtime-risk	bd494bfb2	docs: update bd priority output examples (#5303)
T0-zero-runtime-risk	96caeab17	test(api): pin both rig-path containment passes (ga-qe7qm) (#5405)
T0-zero-runtime-risk	7cbde04ea	test(beads): pin that reconcile emits bead.updated for an external claim (ga-bplkj.3) (#51
